y value,Error Percents
-10,103.248450926029
-20,106.59563104258211
-30,110.04433530624134
-40,113.59743199740822
-50,117.25786449236986
-60,121.02865307454451
-70,124.91289678569191
-80,128.91377531788865
-90,133.0345509470836
-100,137.2785705090612
-110,141.64926741865804
-120,146.1501637330903
-130,150.7848722602675
-140,155.55709871298185
-150,160.47064390987873
-160,165.5294060241309
-170,170.7373828807533
-180,176.09867430351446
-190,181.6174845124144
-200,187.29812457271925
-210,193.14501489655743
-220,199.16268779810062
-230,205.35579010337295
-240,211.729085815745
-250,218.28745883819346
-260,225.03591575342261
-270,231.97958866296088
-280,239.12373808637324
-290,246.47375592173776
-300,254.0351684685672
-310,261.81363951436475
-320,269.81497348603546
-330,278.0451186673844
-340,286.51017048396295
-350,295.2163748565407
-360,304.1701316245035
-370,313.37799804050076
-380,322.84669233769046
-390,332.58309737094476
-400,342.5942643334132
-410,352.88741654985427
-420,363.4699533481782
-430,374.3494540106598
-440,385.53368180631355
-450,397.03058810593984
-460,408.8483165813832
-470,420.9952074905642
-480,433.47980204987675
-490,446.31084689556377
-500,459.49729863572185
-510,473.0483284945924
-520,486.9733270508524
-530,501.28190907161934
-540,515.983918443932
-550,531.0894332054825
-560,546.6087706764275
-570,562.5524926940996
-580,578.9314109525137
-590,595.756592448553
-600,613.0393650367887
-610,630.7913230948702
-620,649.0243333015258
-630,667.7505405291524
-640,686.9823738531151
-650,706.7325526797923
-660,727.0140929955598
-670,747.8403137388107
-680,769.2248432972873
-690,791.1816261328785
-700,813.7249295362304
-710,836.869350513407
-720,860.6298228070125
-730,885.0216240540957
-740,910.0603830832947
-750,935.7620873536673
-760,962.1430905377022
-770,989.2201202510487
-780,1017.0102859315405
-790,1045.531086870135
-800,1074.8004203964165
-810,1104.8365902213689
-820,1135.6583149401717
-830,1167.2847366977694
-840,1199.7354300200961
-850,1233.030410813767
-860,1267.190145537214
-870,1302.2355605461767
-880,1338.1880516166013
-890,1375.0694936479658
-900,1412.9022505501584
-910,1451.7091853170632
-920,1491.5136702900227
-930,1532.3395976144643
-940,1574.2113898929563
-950,1617.1540110380693
-960,1661.1929773284253
-970,1706.3543686713956
-980,1752.664840075951
-990,1800.151633339216
-1000,1848.8425889503642
-1010,1898.7661582154824
-1020,1949.951415607168
-1030,2002.4280713426144
-1040,2056.2264841940255
-1050,2111.3776745352548
-1060,2167.9133376286413
-1070,2225.865857156007
-1080,2285.268318997962
-1090,2346.1545252655583
-1100,2408.5590085885924
-1110,2472.5170466647205
-1120,2538.0646770737785
-1130,2605.238712361645
-1140,2674.076755398143
-1150,2744.617215013445
-1160,2816.8993219176236
-1170,2890.9631449079543
-1180,2966.849607368721
-1190,3044.6005040683017
-1200,3124.2585182583884
-1210,3205.867239080289
-1220,3289.4711792833305
-1230,3375.1157932603837
-1240,3462.8474954057397
-1250,3552.713678800501
-1260,3644.762734230826
-1270,3739.044069544404
-1280,3835.608129350616
-1290,3934.506415069907
-1300,4035.7915053380198
-1310,4139.5170767707605
-1320,4245.737925095099
