,Normal Error Percents,CKKS Error Percents
-1040,2056.2264841940255,2056.3266727230616
-1050,2111.3776745352548,2111.4810259776837
-1060,2167.9133376286413,2168.0193870963717
-1070,2225.865857156007,2225.975121369567
-1080,2285.268318997962,2285.381270305743
-1090,2346.1545252655583,2346.2705700395613
-1100,2408.5590085885924,2408.6785104112914
-1110,2472.5170466647205,2472.639821603383
-1120,2538.0646770737785,2538.190922257988
-1130,2605.238712361645,2605.3692662772496
-1140,2674.076755398143,2674.2108675898694
-1150,2744.617215013445,2744.75508413558
-1160,2816.8993219176236,2817.0415441445466
-1170,2890.9631449079543,2891.110847289662
-1180,2966.849607368721,2966.9992159041267
-1190,3044.6005040683017,3044.755835287427
-1200,3124.2585182583884,3124.4177475418737
-1210,3205.867239080289,3206.031209240569
-1220,3289.4711792833305,3289.6397090622168
-1230,3375.1157932603837,3375.2884341591903
-1240,3462.8474954057397,3463.0259962037967
-1250,3552.713678800501,3552.8981334960017
-1260,3644.762734230826,3644.9508638216535
-1270,3739.044069544404,3739.2376021348673
-1280,3835.608129350616,3835.8072515877984
-1290,3934.506415069907,3934.711072039944
-1300,4035.7915053380198,4036.002088315564
-1310,4139.5170767707605,4139.733164492108
-1320,4245.737925095099,4245.9595900402355
-1330,4354.509986652445,4354.738316632254
-1340,4465.89036028008,4466.1250581802815
-1350,4579.937329576773,4580.177450913118
-1360,4696.710385558677,4696.95938236098
-1370,4816.2702497117325,4816.524800986709
-1380,4938.678897446914,4938.940172210077
-1390,5063.999581964632,5064.268464221042
-1400,5192.296858534828,5192.5721749976265
-1410,5323.636609199326,5323.920222182208
-1420,5458.08606790308,5458.377435829433
-1430,5595.713846061102,5596.011592079703
-1440,5736.589958567926,5736.8963339171005
-1450,5880.785850256522,5881.101456900279
-1460,6028.374422813792,6028.698045651902
-1470,6179.430062159693,6179.762840753002
-1480,6334.028666297328,6334.370168518389
-1490,6492.2476736413,6492.598064285534
-1500,6654.166091831801,6654.526613854958
-1510,6819.864527042036,6820.234509353679
-1520,6989.425213786561,6989.804440010365
-1530,7162.932045238391,7163.321387261277
-1540,7340.470604062716,7340.868172869007
-1550,7522.128193775228,7522.538456950072
-1560,7707.993870633145,7708.414642159761
-1570,7898.1584760672,7898.590339678556
-1580,8092.714669662802,8093.157679179437
-1590,8291.756962699017,8292.211616820978
-1600,8495.381752253665,8495.84783420919
-1610,8703.687355883465,8704.165940342209
-1620,8916.774046887816,8917.265414715534
-1630,9134.744090165366,9135.250057383553
-1640,9357.70177867208,9358.217933551292
-1650,9585.753470490328,9586.283026617386
-1660,9819.007626518063,9819.552907213203
-1670,10057.57484878751,10058.132963224205
-1680,10301.567919423082,10302.13936665491
-1690,10551.101840247926,10551.68830483812
-1700,10806.293873049226,10806.897147559503
-1710,11067.263580511912,11067.878022061037
-1720,11334.132867831018,11334.763897404946
-1730,11607.02602501298,11607.673351873626
-1740,11886.069769875738,11886.733262286356
-1750,12171.393291759121,12172.080207682779
-1760,12463.128295954757,12463.827355267424
-1770,12761.409048867816,12762.125225386253
-1780,13066.372423920071,13067.108716409188
-1790,13378.157948206586,13378.91168376792
-1800,13696.907849916082,13697.67898653898
-1810,14022.767106527635,14023.557534181677
-1820,14355.883493793695,14356.695541469795
-1830,14696.407635522832,14697.237650147554
-1840,15044.493054172142,15045.349254611412
-1850,15400.296222263301,15401.169549380205
-1860,15763.976614632395,15764.872073867553
-1870,16135.696761527717,16136.614552890864
-1880,16515.622302566255,16516.558435333198
-1890,16903.922041563193,16904.8828194108
-1900,17300.768002245506,17301.755272646387
-1910,17706.335484864387,17707.34605247695
-1920,18120.80312371773,18121.838758005342
-1930,18544.352945598148,18545.41366732915
-1940,18977.17042917758,18978.259665419195
-1950,19419.444565344704,19420.557024069483
